Names,Group,Group Description,,Part 1,,,Part II,Exempt
Strychnine,Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",Strengths of 1.2% of base and over,-,Strengths under 1.2% of base,,,
"Veratrum, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
"Vinca, alkaloids of; including synthetic preparations",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,All preparations,,,,
"Yohimba, alkaloids of",Alkaloids,"Alkaloids; the following: their salts, simple or complex; their quaternary compounds:",-,-,All preparations,,,
Allergens (in test kits),,,-,All preparations,,,,
Allopurinol,,,-,All preparations,,,,
Alphadolone acetate,,,-,All preparations,,,,
Alpha-Phenylacetoacetonitrile (APAAN),,,-,-,-,-,All preparations,
Alphaxolone,,,-,All preparations,,,,
Alprenolol; its salts,,,-,All preparations,,,,
Alseroxylon,,,-,-,All preparations,,,
Alteplase,,,-,All preparations,,,,
Alverine citrate,,,-,-,All preparations,,,
Amantadine and other substances structurally derived therefrom; their salts unless specified elsewhere in the List,,,-,All preparations,,,,
Amfepramone; its salts,,,-,All preparations,,,,
Amidopyrine; its salts,,,All preparations,,,,,
Amifostine; its salts; its esters,,,-,All preparations,,,,
Amiloride; its salts,,,-,All preparations,,,,
Amisulpride,,,-,All preparations,,,,
"2-Amino-1-(2, 5-dimethoxy-4- methyl) phenylpropane (DD)",,,-,All preparations,,,,
Aminoglutethimide,,,-,All preparations,,,,
Aminometradine,,,-,All preparations,,,,
Aminophylline,,,-,-,All preparations,,,
Aminopterine,,,-,All preparations,,,,
Aminorex; its salts,,,-,All preparations,,,,
Amiodarone; its salts,,,-,-,All preparations,,,
p-Amino salicyclic acid and other substances structurally derived therefrom; their salts; their esters,,,-,-,All preparations,,,
Amiphenazole; its salts,,,-,-,All preparations,,,
Aminometradine,,,-,All preparations,,,,
Amitriptyline; its salts,,,-,All preparations,,,,
Amlodipine,,,-,All preparations,,,,
Ammonia,,,-,-,-,-,5% and above,Below 5%; Ammonia inside cooling units of a refrigerator and air conditioner; smelling bottles
Amorolfine,,,-,All preparations unless in Group C or exempted,All preparations for external use unless exempted,,,All preparations for external use containing not more than 5% of Amorolfine
Amphetamine (DD); its salts,,,-,All preparations,,,,
Amprolium,,,-,All preparations,,,,
Amrinone; its salts,,,-,All preparations,,,,
Amyl nitrite,,,-,-,All preparations,,,
Anagrelide,,,-,All preparations,,,,
Anastrozole,,,-,All preparations,,,,
Anidulafungin,,,-,All preparations,,,,
Anistreplase,,,-,All preparations,,,,
Anthranilic acid; its salts,,,-,-,-,-,All preparations,
"Antibiotics, all substances of; their synthetic preparations; their salts; unless stated elsewhere in the List",,,"All preparations unless Group B, Group C, Group D and Part II","All preparations in pharmaceutical dosage forms and veterinary preparations compounded with one or more ingredients intended for inclusion in animal feeds unless in Group A, Group C, Group D and Part II","Suppositories and preparations for topical use in the nose, eyes and ears. Lozenges and preparations for external use only",Preparations for laboratory use,When compounded with animal feeds,
"Anticoagulant substances, including heparin and other substances structurally derived from coumarin and phenindione unless specified elsewhere in the List",,,-,All preparations for human use unless in Group C,Preparations for human external use only,,,
Acrivastine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Antazoline,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Astemizole,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Azatadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Azelastine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Bamipine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Bilastine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Bromodiphenhydramine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Brompheniramine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Buclizine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Carbinoxamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Cetirizine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Chlorcyclizine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Chlorpheniramine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Cinnarizine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Clemastine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Clemizole,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Cyclizine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Cyproheptadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
"3-Dibutylaminomethyl-4, 5, 6- trihydroxy-1-isobenzofuranone",Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Dimenhydrinate,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Diphenhydramine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Diphenylpyraline,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Doxylamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Emedastine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Epinastine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Fexofenadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Isothipendyl,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Levocetirizine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Loratadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Mebhydrolin,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Meclozine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Mequitazine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Olopatadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Phenindamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Pheniramine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Phenyltoloxamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Promethazine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Pyrrobutamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Rupatadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Terfenadine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Thenalidine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Tolpropamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Triprolidine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
Substances being tetra-N substituted derivatives of ethylenediamine and propylenediamine,Antihistamines,Antihistamines; the following:,-,-,All preparations,,,
"Antimony; its chlorides, oxides, sulphides, antimonates, antimonites; organic compounds of antimony",,,-,-,All medicinal preparations,-,Preparations other than medicinal preparations,
Apixaban,,,-,All preparations,,,,
Apomorphine; its salts,,,-,-,All preparations,,,
Apraclonidine; its salts,,,-,All preparations,,,,
Aprepitant,,,-,All preparations,,,,
Apronalide,,,-,-,All preparations,,,
Aprotinin,,,-,All preparations,,,,
Aripiprazole,,,-,All preparations,,,,
Arsenic; its organic and inorganic compounds,,,-,-,All medicinal preparations unless exempted,Preparations other than medicinal preparations unless exempted,-,"(1) Cosmetic which is notified under the Control of Drugs and Cosmetics Regulation 1984 [P.U.(A)223/1984] containing not more than 5 parts per million of arsenic calculated as the metal;
(2) Product which is registered under the Control of Drugs and Cosmetics Regulations 1984 [P.U.(A)223/1984] containing not more than 5 parts per million of arsenic calculated as the metal"
Artemether,,,-,All preparations,,,,
Artesunate,,,-,All preparations,,,,
Asenapine,,,-,All preparations,,,,
L-Asparaginase,,,-,All preparations unless exempted,,,,L-Asparaginase when used as food additive
Atazanavir,,,-,All preparations,,,,
Atenolol; its salts,,,-,All preparations,,,,
Atomoxetine; its salts,,,-,All preparations,,,,
Atorvastatin Calcium,,,-,All preparations,,,,
Atosiban,,,-,All preparations,,,,
Atracurium; its salts,,,-,All preparations,,,,
Avanafil,,,-,All preparations,,,,
Avoparcin,,,All preparations,,,,,
Axitinib,,,-,All preparations,,,,
Azacyclonol; its salts,,,-,All preparations,,,,
Azaperone,,,-,All preparations,,,,
Azapropazone,,,-,All preparations,-,,,
Azathioprine; its salts,,,-,All preparations,,,,
Azelaic Acid,,,-,All preparations unless in Group C,All preparations for external use,,,
Azilsartan,,,-,All preparations,,,,
Baclofen; its salts,,,-,All preparations,,,,
Balsalazide disodium,,,-,All preparations,,,,
Bambuterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Barbituric acid and other substances structurally derived therefrom; their compounds; their salts,,,-,All preparations,,,,
Barium; salts of,,,-,-,All preparations for diagnostic or herapeutic use,All preparations unless in Group C or exempted,-,Witherite other than finely ground witherite; Barium Sulphate other than those in Group C
Basiliximab,,,-,All preparations,,,,
Becaplermin,,,-,All preparations,,,,
Beclamide,,,-,All preparations,,,,
Befunolol; its salts,,,-,All preparations,,,,
Belimumab,,,-,All preparations,,,,
Bemegride,,,-,-,All preparations,,,
Benactyzine; its salts,,,-,-,All preparations,,,
Benazepril; its salts,,,-,All preparations,,,,
Bencyclane; its salts,,,-,All preparations,,,,
Benproperine; its salts,,,-,-,All preparations,,,
Benserazide; its salts,,,-,All preparations,,,,
Benzbromarone,,,-,All preparations,,,,
Benzhexol; its salts,,,-,All preparations,,,,
Benzoctamine; its salts,,,-,All preparations,,,,
Benzoquinonium chloride,,,-,All preparations,,,,
Benzphetamine; its salts,,,-,All preparations,,,,
Benzquinamide,,,-,-,All preparations,,,
Benztropine; its homologues;,,,-,-,All preparations,,,
their salts,,,,,,,,
Benzydamine; its salts,,,-,-,All preparations,,,
Bepridil; its salts,,,-,All preparations,,,,
Betahistine; its salts,,,-,-,All preparations,,,
Betaxolol; its salts,,,-,All preparations,,,,
Bethanechol; its salts,,,-,All preparations,,,,
Bethanidine; its salts,,,-,-,All preparations,,,
Bevacizumab,,,-,All preparations,,,,
Bevonium; its salts,,,-,-,All preparations,,,
Bicalutamide,,,-,All preparations,,,,
Bifonazole,,,-,All preparations unless in Group C,Preparations for external use,,,
Bimatoprost,,,-,All preparations,,,,
Biperiden; its salts,,,-,All preparations,,,,
Bismuth; its salts,,,-,All preparations unless in Group C or exempted,Suppositories and preparations for external use unless exempted,-,-,"Cosmetics including those for the eye, containing bismuth oxychloride as a pearling or colouring agent"
Bisoprolol fumarate,,,-,All preparations,,,,
Bitolterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Bleomycin; its salts,,,-,All preparations,,,,
Boceprevir,,,-,All preparations,,,,
Bopindolol,,,-,All preparations,,,,
Boric acid and Sodium borate,,,-,-,All medicinal preparations unless exempted,Preparations other than medicinal preparations unless exempted,-,"Preparations containing not more than 5% of Boric acid, or 5% of Sodium borate, or 5% of a combination of Boric acid and Sodium borate. Preparations ready for use as pesticides and fertilizers"
Bortezomib,,,-,All preparations,,,,
Bretylium; its salts,,,-,All preparations,,,,
Brimonidine; its salts,,,-,All preparations,,,,
Brinzolamide,,,-,All preparations,,,,
"Bromides, inorganic and Ammonium bromide, for therapeutic use",,,-,-,All preparations,,,
Bromocriptine; its salts,,,-,All preparations,,,,
Bromvaletone,,,-,-,All preparations,,,
Brotizolam,,,-,All preparations,,,,
Broxaterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Bucolome,,,-,-,All preparations,,,
Bufexamac,,,-,-,All preparations,,,
Buflomedil; its salts,,,-,-,All preparations,,,
Bufotenine; its esters and ethers; their salts,,,-,All preparations,,,,
Bumadizone; its salts,,,-,-,All preparations,,,
Bumetanide,,,-,All preparations,,,,
Bunazosin; its salts,,,-,All preparations,,,,
Buprenorphine; its salts,,,-,All preparations,,,,
Bupropion,,,-,All preparations,,,,
Busulphan; its salts,,,-,All preparations,,,,
Buspirone; its salts,,,-,All preparations,,,,
Butamirate; its salts,,,-,-,All preparations,,,
Butinoline; its salts,,,-,-,All preparations,,,
Butoconazole,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Butorphanol; its salts (DD),,,-,All preparations,,,,
Butriptyline; its salts,,,-,All preparations,,,,
Butropium; its salts,,,-,-,All preparations,,,
Cabazitaxel,,,-,All preparations,,,,
Cabergoline,,,-,All preparations,,,,
Caffeine,,,-,-,-,-,All preparations unless exempted,"Caffeine in:
(1) food or beverages;
(2) cosmetic which is notified under the Control of Drugs and Cosmetics Regulations 1984;
(3) product which is registered under the Control of Drugs and Cosmetics Regulations 1984;"
Calcipotriol,,,-,-,All preparations,,,
Calcitonin,,,-,All preparations,,,,
Calcitriol,,,-,-,All preparations unless exempted,-,-,Product which is registered under the Control of Drugs and Cosmetics Regulations 1984;
Calcium carbimide,,,-,All preparations,,,,
Calcium dobesilate,,,-,All preparations,,,,
Calcium polystyrene,,,-,All preparations,,,,
Calfactant,,,-,All preparations,,,,
Camylofine; its salts,,,-,-,All preparations,,,
Canakinumab,,,-,All preparations,,,,
Candesartan; its salts,,,-,All preparations,,,,
Cantharidin; cantharides; cantharidates,,,-,Strengths over 0.01% of cantharidin or its equivalent,Strengths of 0.01% or less of cantharidin or its equivalent,,,
Capecitabine,,,-,All preparations,,,,
Captodiamine; its salts,,,-,-,All preparations,,,
Captopril,,,-,All preparations,,,,
"Caramiphen; its salts, except caramiphen edisylate",,,-,All preparations unless in Group C,Tablets containing not more than the equivalent of 7.5 mg of caramiphen base and liquid preparations containing not more than the equivalent of 0.1 % of caramiphen base,,,
Caramiphen edisylate,,,-,-,All preparations,,,
Carbachol,,,-,All preparations,,,,
Carbadox,,,All preparations,,,,,
Carbamazepine,,,-,All preparations,,,,
Carbarsone,,,-,-,All preparations,,,
Carbazochrome Sodium Sulphonate,,,-,All preparations,,,,
Carbenoxolone; its salts,,,-,All preparations unless in Group C,Preparations for topical use in the mouth or throat,,,
Carbetapentane; its salts,,,-,-,All preparations,,,
Carbidopa,,,-,All preparations,,,,
Carbimazole; its salts,,,-,All preparations,,,,
Carboplatin,,,-,All preparations,,,,
Carbromal,,,-,All preparations,,,,
Carbromide,,,-,All preparations,,,,
Carbutamide,,,-,-,All preparations,,,
Carfentanil citrate,,,-,All preparations,,,,
Carisoprodol,,,-,All preparations,,,,
Carmustine; its salts,,,-,All preparations,,,,
Carperidine; its salts,,,-,-,All preparations,,,
Carprofen,,,-,All preparations,,,,
Carteolol; its salts,,,-,All preparations,,,,
Carvedilol,,,-,All preparations,,,,
Cathine,,,-,All preparations,,,,
Cathinone (DD),,,-,All preparations,,,,
CBPU or Chlorbenzen- sulfonylpyrrolidinourea,,,-,-,All preparations,,,
Celecoxib,,,-,All preparations,,,,
Cerivastatin; its salts,,,-,All preparations,,,,
Certolizumab,,,-,All preparations,,,,
Cetrorelix,,,-,All preparations,,,,
Cetuximab,,,-,All preparations,,,,
Chenodeoxycholic acid,,,-,All preparations,,,,
Chlophedianol; its salts,,,-,Strengths of 1.5% and over,Strengths less than 1.5%,,,
"Chloral; its condensation products, its addition products; their molecular compounds",,,-,-,All medicinal preparations,Preparations other than medicinal preparations,,
Chlorambucil; its salts,,,-,All preparations,,,,
"Chloramphenicols and other substances structurally derived therefrom, their salts; their esters",,,"All preparations unless in Group B, Group C and Group D",All preparations in pharmaceutical dosage form unless in Group C and Group D,"Preparations for opical use in the nose, eyes and ears. Preparations for external use only.",Preparations for laboratory use.,,
Chlormerodrine,,,-,All preparations,,,,
Chlormethiazole; its salts,,,-,All preparations,,,,
Chlormezanone,,,-,All preparations,,,,
Chlormidazole; its salts,,,-,All preparations unless in Group C,Pessaries. Preparations for external use,,,
Chloroform,,,Veterinary preparations for food-producing animals,-,Strengths of 10% and over unless Group A,-,-,Strengths under 10% unless Group A
Chloroquine; its salts,,,-,-,All preparations,,,
Chlorothiazide and other substances structurally derived from benzothiadiazine,,,-,All preparations,,,,
Chlorphenoxamine; its salts,,,-,All preparations,,,,
Chlorphentermine; its salts,,,-,All preparations,,,,
Chlorpromazine,,,All preparations unless Group B,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,,
Chlorpropamide; its salts,,,-,-,All preparations,,,
Chlorprothixene and other substances structurally derived from 9-methylenethioxanthene; their salts,,,-,All preparations,,,,
Chlorthalidone and other substances structurally derived from O-chlorbenzene sulphonamide,,,-,All preparations,,,,
Chlorzoxazone,,,-,All preparations,,,,
Cholestyramine,,,-,All preparations,,,,
Cianidanol,,,-,All preparations,,,,
Ciclesonide,,,-,All preparations,,,,
Cicletanine; its salts,,,-,All preparations,,,,
Cilazapril,,,-,All preparations,,,,
Cilostazol,,,-,All preparations,,,,
Cimetidine; its salts,,,-,-,All preparations,,,
Cinacalcet,,,-,All preparations,,,,
Cinchophen and other substances structurally derived from 4-quinolinecarboxylic acid unless specified elsewhere in the List; their salts and esters,,,-,All preparations,,,,
Cisapride,,,-,All preparations,,,,
Cisatracurium Besylate,,,-,All preparations,,,,
Cisplatin,,,-,All preparations,,,,
Citalopram; its salts,,,-,All preparations,,,,
Clenbuterol,,,All preparations for use in animal feeds,-,Preparations other than those in Group A,,,
Clevudine,,,-,All preparations,,,,
Clidinium; its salts,,,-,-,All preparations,,,
Clioquinol and other halogenated hydroxyquinoline compound,,,All preparations,,,,,
Clobazam,,,-,All preparations,,,,
Clodronate disodium,,,-,All preparations,,,,
Clofarabine,,,-,All preparations,,,,
Clofazimine,,,-,All preparations,,,,
Clofexamide; its salts,,,-,All preparations,,,,
Clofibrate and other substances structurally derived there from; their salts and esters,,,-,All preparations,,,,
Clomiphene; its salts,,,-,All preparations,,,,
Clomipramine; its salts,,,-,All preparations,,,,
Clonidine; its salts,,,-,All preparations,,,,
Clopamide,,,-,All preparations,,,,
Cloperastine; its salts,,,-,-,All preparations,,,
Clopidogrel,,,-,All preparations,,,,
Clopidol,,,-,All preparations,,,,
Clorexolone,,,-,All preparations,,,,
Closantel sodium,,,-,All preparations,,,,
Clothiapine,,,-,All preparations,,,,
Clotiazepam,,,-,All preparations,,,,
Clotrimazole,,,-,All preparations unless in Group C or exempted,Pessaries.,-,-,Preparations containing clotrimazole as a single ingredient for external use
Clozapine,,,-,All preparations,,,,
Colfoseril; its esters,,,-,All preparations,,,,
"Corticotrophins, natural and synthetic",,,-,All preparations,,,,
"Cortisone, hydrocortisone; their derivatives, analogues and homologues; their salts",,,-,All preparations unless in Group C,"Preparations for topical use in the nose, eyes, ears, mouth or throat. Preparations for external use only",,,
"Creosote, obtained from wood",,,-,-,-,-,Strengths over 50%,Strengths of 50% and under
Crizotinib,,,-,All preparations,,,,
Cucurbitacin; its derivatives,,,-,All preparations,,,,
Cyclarbamate,,,-,All preparations,,,,
Cyclofenil,,,-,All preparations,,,,
Cyclopentolate; its salts,,,-,-,All preparations,,,
Cyclophosphamide; its salts,,,-,All preparations,,,,
Cyclosporin,,,-,All preparations,,,,
Cycrimine; its salts,,,-,All preparations,,,,
Cyproterone acetate,,,-,All preparations,,,,
Cysteamine; its salts,,,-,All preparations,,,,
Cytarabine; its salts,,,-,All preparations,,,,
Dabigatran,,,-,All preparations,,,,
Dacliximab,,,-,All preparations,,,,
Danazol,,,-,All preparations,,,,
Dantrolene; its salts,,,-,All preparations,,,,
Dapagliflozin,,,-,All preparations,,,,
Dapoxetine,,,-,All preparations,,,,
Dapsone,,,All preparations unless Group B,All products registered under the Control of Drugs and Cosmetics Regulations 1984,,,,
Darunavir,,,-,All preparations,,,,
Dasatinib,,,-,All preparations,,,,
Deanol; its salts,,,-,All preparations for therapeutic use,-,All preparations other than in Group B,,
Debrisoquine; its salts,,,-,All preparations,,,,
Decamethonium; its salts,,,-,All preparations,,,,
Decitabine,,,-,All preparations,,,,
Decoquinate,,,-,All preparations,,,,
Deferasirox,,,-,All preparations,,,,
Deferiprone,,,-,-,All preparations,,,
Degarelix,,,-,All preparations,,,,
Dehydroemetine; its salts,,,-,All preparations,,,,
Delapril; its salts,,,-,All preparations,,,,
Demecarium bromide,,,-,All preparations,,,,
Denosumab,,,-,All preparations,,,,
Deserpidine; its salts,,,-,All preparations,,,,
Desferrioxamine,,,-,-,All preparations,,,
Desflurane,,,,All preparations,,,,
Desipramine; its salts,,,-,All preparations,,,,
Desvenlafaxine,,,-,All preparations,,,,
"DET or N, N-Diethyltryptamine; its salts (DD)",,,-,All preparations,,,,
Dexamphetamine (DD); its salts,,,-,All preparations,,,,
Dexmedetomidine; its salts,,,-,All preparations,,,,
Dextromethorphan; its salts,,,-,-,All preparations,,,
Dextrophan; its salts,,,-,-,All preparations,,,
Dezocine,,,-,All preparations,,,,
Diacerrein,,,-,All preparations,,,,
Diacetylnalorphine; its salts,,,-,All preparations,,,,
"Diazepam and other substances structurally derived from 1, 4- benzodiazepine; their salts, unless specified elsewhere in the List",,,-,All preparations,,,,
Diazoxide,,,-,All preparations,,,,
Dibenzepin; its salts,,,-,All preparations,,,,
Diclazuril,,,-,All preparations,,,,
Diclofenac; its salts,,,-,-,All preparations,,,
Dicyclomine; its salts,,,-,-,All preparations,,,
Didanosine,,,-,All preparations,,,,
Diethazine; its salts,,,-,All preparations,,,,
